Name,Price,Link,Column 4,Column 5,Column 6
PCB,$5.12,PCB.png,,,
Propellers,$2.45,https://www.aliexpress.us/item/2251832634686207.html?spm=a2g0o.productlist.0.0.25903129IX5y9R&mp=1&pdp_npi=5%40dis%21USD%21USD%202.44%21USD%200.99%21%21USD%200.99%21%21%21%402103129017664667152715622ed756%2164845409498%21ct%21US%21-1%21%211%210&gatewayAdapt=glo2usa,,,
Motors (Price for 2),$6.06,https://www.aliexpress.us/item/3256808323654743.html?spm=a2g0o.detail.0.0.4b8219bN19bNJS&mp=1&pdp_npi=5%40dis%21USD%21USD%203.02%21USD%203.02%21%21USD%203.02%21%21%21%402101eee917664671146086714e6804%2112000045485098495%21ct%21US%21-1%21%212%210&gatewayAdapt=glo2usa,,,
Foam Plane,$1.88,https://www.aliexpress.us/item/2251832871772138.html?spm=a2g0o.detail.0.0.6ec59IP29IP2g7&mp=1&pdp_npi=5%40dis%21USD%21USD%201.72%21USD%201.67%21%21USD%201.67%21%21%21%4021030a6217664672588771624e62a3%2167462391347%21ct%21US%21-1%21%211%210&gatewayAdapt=glo2usa,,,
PCB Parts,$24.08,https://drive.google.com/file/d/1neeLVHeMsg0dnNurXXt-1j0FfqS8DVa3/view?usp=sharing,,,
Battery,$9.99,https://speedyfpv.com/products/turnigy-nano-tech-950mah-1s-lipo-25c-50c-jst-plug-for-walkera-v120-x100?variant=8596773175347,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,With Tax,,,
Pre-Tax ->,$49.57,$54.03,,,


